company_name,request_url,request_company_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
Venkat Mangudi Consulting,https://e27.co/startup/venkat-mangudi-consulting,venkatmangudi.com,India,"Enterprise Solution,Agency & Consulting,Information & Communications Technology",January 2006,,0,"http://www.twitter.com/venkatmangudi,https://www.facebook.com/vmcpl,http://www.linkedin.com/company/venkat-mangudi-consulting",,,"Venkat Mangudi Consulting is a Strategy Consulting company based in Bangalore, India that specializes in Enterprise Open Source solutions implementation as a follow up to the consulting engagement.","Venkat Mangudi Consulting is a Strategy Consulting company based in Bangalore, India focusing on Small and Medium Enterprises. One of the primary goals of the company is to reduce technology driven costs while increasing Open Source adoption rates."
IstLike,https://e27.co/startup/istlike,istlike.com,,Social Enterprise,,,0,,,,Get Instagram likes and followers with IstLike! This application help get more likes and followers on Instagram. ,Get Instagram likes and followers with IstLike!
Emerald Colour,https://e27.co/startup/emerald-colour,emeraldcolour.com,United Kingdom,,,,1,"http://www.twitter.com/EmeraldColour,https://en-gb.facebook.com/emeraldcolourltduk/,https://www.linkedin.com/company/emerald-colour",,,"Emerald Colour is a award-winning full-service digital design agency in London & Basingstoke. We produce high-quality Litho, Digital, and Large format printing services.",Emerald Colour is a full-service digital design agency in London & Basingstoke. every digital solution we design or build is created and developed with user experience in mind.
Houseafic.com,https://e27.co/startup/houseafic-com,houseafic.com,India,"Consumer,Big Data,Real Estate",January 2015,,1,,,,"Know More, Do More : Helping people make smarter real estate decisions",
Virtuos Digital Ltd.,https://e27.co/startup/virtuos-digital-ltd,virtuos.com,India,"Information & Communications Technology,Software as a Service",2008,,0,"http://www.twitter.com/virtuos,https://www.facebook.com/Virtuos/,http://linkedin.com/company/virtuos-solutions/",,,"Virtuos- The Experience Consultancy Services Expert in the digital age delivers exceptional business outcomes around customer centricity, ebusiness, social media marketing and the cloud.",
Tab a Doctor,https://e27.co/startup/tab-a-doctor,tabadoctor.com,Singapore,"Enterprise Solution,Software as a Service",,,0,"http://www.twitter.com/tabadoctor,https://www.facebook.com/tabadoctor,https://www.linkedin.com/company/reservation-commerce",,,"Tab a Doctor is a product of Reservation Commerce that helps patients find quality healthcare abroad (attractive prices, accredited hospital, and the right doctors)",Tab a Doctor is a healthcare portal that provides:
Lion and Lion,https://e27.co/startup/lion-and-li,lionandlion.com,Singapore,"Agency & Consulting,Advertising",June 2013,,1,"http://www.twitter.com/LionLionDigital,https://www.facebook.com/lionandlion,https://www.linkedin.com/company/lion&lion",,,"Lion & Lion is a fast growing and award winning digital agency based in South East Asia working with some top clients such as Adidas, L’Oreal, AXA & IKEA and with offices in SG, MY, HK and ID.","Lion & Lion is a fast growing and award winning digital agency based in South East Asia working with some top clients such as Adidas, L’Oreal, AXA & IKEA and with offices in SG, MY, HK and ID. Lion & Lion SG is the newest addition and has already won key accounts such as Victoria’s Secret, Guardian and Mundipharma. Lion & Lion consists of a diverse and experienced global team, passionate about creating success. If you are driven, talented and love digital, you could be our next Lion."
EasyLaw,https://e27.co/startup/easylaw,easylaw.asia,Malaysia,Enterprise Solution,November 2016,,1,http://www.facebook.com/easylawmy,,,"EasyLaw -No. 1 Legal App In Malaysia & Singapore - We connect clients & lawyers in a single discovery platform.We transform legal profession by making law (E)fficient, (A)ffordable, (S)imple to (Y)ou.",EasyLaw - No. 1 Legal App in Malaysia & Singapore.
Vimax Asli Canada,https://e27.co/startup/vimax-asli-canada,faktavimax.com,Indonesia,,,,1,,,,"Vimax Asli Canada sebagai obat kesehatan alat vital pria yang akan menjadi penambah kekuatan stamina, memperbaiki fungsi dan merubah ukuran menjadi lebih baik lagi.","Jika Anda saat ini tidak puas dengan ukuran penis Anda maka tidak terlihat lagi. Kami telah menciptakan Vimax Sistem untuk pria yang ingin memperbesar ukuran penis mereka dan ketebalan dengan menggabungkan semua yang terbaik metode pembesaran penis yang dikenal saat ini. Vimax Sistem menggabungkan semua alat yang paling ampuh untuk menyediakan Anda dengan cepat, pengobatan yang paling efektif di pasar! Jika Anda ingin ukuran yang lebih baik, stamina, dan seks terbaik yang pernah Anda miliki, Vimax Sistem adalah gerbang menuju kesuksesan. Saya memiliki pengalaman besar dengan pil male enhancement dan perangkat pembesaran penis Extenders. Saya mulai belajar enhancer laki-laki pada tahun 2008. Pertama kali saya mencoba mereka pada tahun 2016, saya senang dengan hasil saya dan pada tahun 2009 saya memutuskan untuk membuka toko online sendiri di Rusia untuk pria yang membutuhkan bantuan dengan tambahan laki-laki. Sejak saat itu saya memiliki berbagai masukan dari pelanggan saya berbagai usia dan fisik. Saya akan posting ulasan yang nyata dari pelanggan saya diterjemahkan ke bahasa Inggris kasihan tata bahasa saya."
Patron,https://e27.co/startup/patr,patron-ico.io,Japan,,,,1,"https://business.facebook.com/hisatsumi0530/,https://www.linkedin.com/company/patron-ico/",,,"Influencers and social media (SNS) users from around the world can publish, discover, reserve, or sell influencer data on PATRON’s trustless platform on both web and mobile. PATRON is a one stop shop","Influencers and social media (SNS) users from around the world can publish, discover, reserve, or sell influencer data on PATRON’s trustless platform on both web and mobile. PATRON is a one stop shop for social media influencer focused brands and influencers themselves."
ZuperMeal,https://e27.co/startup/zupermeal,zupermeal.com,India,"Consumer,Food & Beverage,Mobile,Software as a Service,Information & Communications Technology",,,0,"http://www.twitter.com/zupermeal,https://www.facebook.com/zupermealindia,https://www.linkedin.com/company/zuper-meal",,,"ZuperMeal is a platform that enables home cooks to become home ""chefs"" and market their signature dishes to the customers looking for healthy and hygienic home-cooked food.","ZuperMeal is a platform that enables home cooks to become home ""chefs"" and market their signature dishes to the customers looking for healthy and hygienic home-cooked food."
MyRefers,https://e27.co/startup/myrefer,myrefers.com,India,"Agency & Consulting,Human Resources,Information & Communications Technology",April 2013,,0,"http://www.twitter.com/My_Refers,http://www.facebook.com/Myrefers,https://www.linkedin.com/company/3245947",,,"MyRefers, a Delhi-based referral recruitment platform, they are working towards creating a skill marketplace powered by referrals and data intelligence.","MyRefers, a Delhi-based referral recruitment platform, they are working towards creating skills marketplace powered by referrals and data intelligence."
Slidebot,https://e27.co/startup/slidebot,slidebot.io,Australia,"Enterprise Solution,Software as a Service",,,0,http://www.twitter.com/SlideBotIO,,,Slidebot uses artificial intelligence to understand your content and transform it into visually stunning depictions.,Slidebot uses artificial intelligence to understand your content and transform it into visually stunning depictions.
ExpoStores,https://e27.co/startup/expostore,expostores.com,India,,,,0,https://www.linkedin.com/company/expostores/?originalSubdomain=ph,,,The startup provides AI and blockchain-enabled tradetech platform and trade E2E solutions.,The startup provides AI and blockchain-enabled tradetech platform and trade E2E solutions.
Lively Green – Strategic Design Consultancy,https://e27.co/startup/livelygree,livelygreen.co,Singapore,"Design ,Advertising",April 2017,,1,"http://www.twitter.com/livelygreenco,https://www.facebook.com/livelygreen.co/,http://www.linkedin.com/company/livelygreen",,,"We are a Strategic Design Consultancy building memorable and meaningful branding and communications design through value-driven, long-term partnerships with businesses and communities.","We create engaging and compelling brand experiences for startups, corporates, and communities to create immersive impact on their audiences. We provides pragmatic solutions for the common and uncommon problems that enduring brands face."
FITA Academy,https://e27.co/startup/fita-academy,fitaacademy.com,India,,,,1,,,,FITA Academy - No:1 career development center which helps you to enhance your skills to step into the IT company for more IT certifications details call @98404-11333.,
Afternoons With Albert,https://e27.co/startup/afternoons-with-albert,afternoonswithalbert.com,Australia,"Agency & Consulting,Information & Communications Technology",,,0,https://www.facebook.com/afternoonswithalbert/timeline,,,"Afternoons with Albert helps you (and the rest of the world) to find adventure and enjoyment in each moment, to change the way you interact with the everyday.","What gets them out of bed every morning at Afternoons with Albert, is to help you (and the rest of the world) to find adventure and enjoyment in each moment, to change the way you interact with the everyday."
"Zenmak Nutrigencies And Health (P) Ltd.,",https://e27.co/startup/zenmak-nutrigencies-and-health-p-ltd,zenmakglobal.com,India,,November 2017,,1,"http://www.twitter.com/zenmak_global,https://www.facebook.com/Zenmak-Nutrigen-728284954034982,https://www.linkedin.com/in/zenmakglobal/",,,"Zenmak Nutrigencies And Health (P) Ltd. We offer Feed Supplements for Poultry & Live Stock. We offer top organic nutrition products distributors for pig, cattle, chicken, poultry.",ZenmaK is a leading global animal health company and Best animal feed Manufacturers and Supplements Suppliers in India. Top nutrition products supplements manufacturing companies in India and buy organic nutrition products online in India.
CollectOffersID,https://e27.co/startup/collectoffersid,collectoffers.com,Indonesia,,November 2014,,1,,,,"Collect Offers is one of the world’s most trusted online platforms and is leading the way to discover, compare and leverage the best discount deals, exclusive discount offers.",
fourseven,https://e27.co/startup/fourseve,fourseven.com,India,"Consumer,Design ,E-commerce,Information & Communications Technology",2013,,1,"http://www.twitter.com/myfourseven,https://www.facebook.com/myfourseven,https://www.linkedin.com/company/fourseven-services-private-limited",,,fourseven is India’s first high fashion emotive jewellery brand. fourseven delivers distinctive silver jewellery for women who choose happy.,"fourseven is India’s first high fashion emotive jewellery brand. fourseven delivers distinctive silver jewellery for women who choose happy. Our unique collection of charms from fourseven, including charm bracelets, charm anklets, charm necklaces and even charm earrings, is made of pure 92.5 sterling silver and semi-precious stones for wearable jewellery that is a reflection of the things that mean something special to you."
FINNOMENA,https://e27.co/startup/finnomena,finnomena.com,Thailand,"Finance,Information & Communications Technology",December 2015,,1,"http://www.twitter.com/finnomena,http://www.facebook.com/finnomena",,,Finnomena’s goal is to unlock the investment potential in Thai people by providing extraordinary tools and unbiased knowledge needed in investing and personal financial planning.,Finnomena’s goal is to unlock the investment potential in Thai people by providing extraordinary tools and unbiased knowledge needed in investing and personal financial planning.
QuadLabs Technologies Private Limited,https://e27.co/startup/quadlabs-technologies-private-limited,quadlabs.com,India,"E-commerce,Enterprise Solution,Software as a Service,Travel,Information & Communications Technology",,,0,"http://www.twitter.com/Quad_Labs,https://www.facebook.com/quadlabstechnology,http://www.linkedin.com/company/quadlabs-technologies-private-limited",,,QuadLabs Technologies founded in 2006 is a premier travel technology company based in Gurgaon India.,"QuadLabs Technologies founded in 2006 is a premier travel technology company based in Gurgaon India, provides software solution to travel management companies, travel agencies, suppliers, distributors and tour operators. Their products help their customers to automate their business processes, optimize revenue stream and enhance their customer service experience. .They understand the needs of the travel market in diverse geographies and are uniquely equipped to deliver best in class products with the shortest time to market. They specialize in intelligent solutions which have a high degree of adaptability to distinct business processes with travel domain."
Defuzed - App Development Company,https://e27.co/startup/defuzed,defuzed.in,India,,,,1,"http://www.facebook.com/Defuzed,http://www.linkedin.com/company/defuzed",,,"We are a team of very talented designers and app developers in Delhi, Gurgaon and a leading Mobile App Development Company Delhi. We build world class apps for Android, iOS and Web.",WE ARE DEFUZED
SVR GLOBAL SOLUTIONS,https://e27.co/startup/svr-global-soluti,svrglobalsolutions.com,India,,,,1,,,,"We, SVR Global Solutions, an IT Service provider with our services of ERP, Mobile App Development, Software Development, Testing, SEO, web design and development.","We, SVR Global Solutions, an IT Service provider with our services of ERP, Mobile App Development, Software Development, Testing, SEO, web design and development range across industries horizontally and vertically."
Tripfez,https://e27.co/startup/tripfez,tripfez.com,Malaysia,"Consumer,Travel,Information & Communications Technology",,,0,"http://www.twitter.com/tripfez,https://www.facebook.com/tripfez/",,,"Tripfez, a brand owned by Lagisatu Travel Sdn Bhd, is an innovative, state of the art travel portal dedicated to the rise of global Muslim travelers.","Tripfez, a brand owned by Lagisatu Travel Sdn Bhd, is an innovative, state of the art travel portal dedicated to the rise of global Muslim travelers."
ExamBazaar,https://e27.co/startup/exambazaar,exambazaar.com,India,,March 2017,,1,"http://www.twitter.com/exambazaar,https://www.facebook.com/exambazaar/,https://www.linkedin.com/company/exambazaar/",,,"Exambazaar (EB) is one of India’s largest education and coaching discovery platform which provides comprehensive information for test preparation, and career discovery.","Exambazaar (EB) is one of India’s largest education and coaching discovery platform which provides comprehensive information for test preparation for entrance exams, colleges, courses, universities and coaching listings in India, with over 30,000 coaching institutes listed under its platform with a network spanning over 100 cities covering 50+ competitive and 100+ regional exams. The USP of Exambazaar lies in its interactive platform assisting students to"
Filsupport,https://e27.co/startup/filsupport,filsupport.com,Philippines,"Design ,Advertising,Information & Communications Technology",January 2007,,0,"http://www.twitter.com/filsupport,http://www.facebook.com/filsupportwebmarketing,http://www.linkedin.com/company/filsupport",,,Filsupport is an internet marketing company based in the Philippines. The company provides business process outsourcing services.,"Filsupport is an internet marketing company based in the Philippines. The company provides business process outsourcing services mainly in web design, SEO and internet marketing to U.S. clients and more."
Sevya IT,https://e27.co/startup/sevya-it,sevyait.com,India,"Software as a Service,Agency & Consulting",,,0,"http://www.twitter.com/sevya_it,https://www.linkedin.com/company/sevya-it",,,"Sevya is a specialist in SW Systems, Security & Automation Solutions with Integration as the key strength","Sevya is a specialist in SW Systems, Security & Automation Solutions with Integration as the key strength."
TrustMyStaff,https://e27.co/startup/trustmystaff,trustmystaff.com,Cambodia,Human Resources,,,0,"http://www.twitter.com/rotaticonsult,https://www.facebook.com/rotaticonsulting",,,A platform to help companies test potential employment candidate to find if they are a good personality fit. It uses a psychological measurement test to help companies make the ideal hire.,A platform to help companies test potential employment candidate to find if they are a good personality fit. It uses a psychological measurement test to help companies make the ideal hire.
Emizen Tech Pvt. Ltd,https://e27.co/startup/emizen-tech-pvt-ltd,emizentech.com,India,,,,1,"http://www.twitter.com/emizentech,https://www.facebook.com/EmizenTech/,https://www.linkedin.com/company/emizen-tech",,,"Emizen Tech Pvt. Ltd is the most renowned Magento extension development company in India, founded in 2013 offering a great variety of extensive extensions for Magento 2.","Emizen Tech Pvt Ltd is one of the recognized enterprises based on Magento 2 development and extensions in India. Established in the year 2013 with the cool collaboration of three brilliant colleagues. Our developers are certified with Magento, Zend, and Red Hat. Our company has expanded its territory with 20+ Magento2 Extensions with 500+ total number of clients along with the 660+ positive reviews. Since the startup, till now our company has done up to 500+ projects, completing 5+ work experience completed with 97% Jobs. The trio believes in the explosion of innovation, that is the reason they started Emizen Tech Pvt Ltd with the great vision, ''Your Idea Our Innovation''. The power and energy they enforced in their task are now showing it's true colors with the company expansion."
IQST SAP,https://e27.co/startup/iqst-sap,iqstreamtech.com,India,,,,1,"http://www.iqstreamtech.com/sap-hana-training.php,http://www.iqstreamtech.com/sap-abap-training.php",,,One of the top quality SAP FICO training company in Bangalore with 100% placements.  Also offers advanced and updated syllabus and highly experienced tutors and teachers are here to take classes.,"IQST SAP (System Application and Products) offers quality SAP FICO (FI (Financial Accounting) plus CO (Controlling)), ABAP (Advanced Business Application Programming), HANA (high-performance analytic appliance), MM (Material Management), SD (Sales and Distribution) training with choice of most updated syllabus and classrooms. We offer excellent SAP certification training with well equipped lab facilities and infrastructure. We are experts in providing Instructor-led class rooms and Online modes to working professionals, post graduates and graduates and much more."
PinkBlue,https://e27.co/startup/pinkblue,pinkblue.in,India,"E-commerce,Healthtech",,,0,"http://www.twitter.com/PinkBlueIn,https://www.facebook.com/pages/PinkBluein/365534496933211,https://www.linkedin.com/company/pinkblue-in",,,PinkBlue.in is an integrated supply chain solution for clinical/ medical supplies in India (materials & equipments used by healthcare institutions during treatments).,PinkBlue.in is an integrated supply chain solution for clinical/ medical supplies in India (materials & equipments used by healthcare institutions during treatments).
Infonesia,https://e27.co/startup/infonesia,infonesia.fyi,Indonesia,"Agency & Consulting,Platform",,,0,,,,Infonesia is a knowledge sharing platform offering new experience and business model which benefits all stakeholders in the platform.,Infonesia is a knowledge sharing platform offering new experience and business model which benefits all stakeholders in the platform.
